jno	jname	bno	jmoney	jpeople	jday	jtime	jwork	jgrade
244	투썸플레이스 '케이크 & 커피 감성' 파트타이머 구해요! (분위기 좋은 곳에서 일하기!)	13	11000	3	4	3	1	0
245	GS25에서 늦은 밤/이른 아침을 지킬 '나이트/모닝 파트너' 알바 구함! (혼자 일하기 편함)	9	11000	4	2	6	0	0
246	G마켓과 함께 쇼핑 역사를 만들 '이커머스 히어로' 모집! 상품 운영/기획 지원!	81	14000	6	2	7	1	2
247	파트타이머 모집! 컴포즈커피에서 빠르게!	38	12000	2	1	5	0	0
248	홈플러스에서 즐겁게 일하며, 고객에게 최고의 쇼핑 경험을 제공할 직원을 모집합니다.	21	13000	3	3	5	0	0
249	KFC에서 치킨을 사랑하는 사람을 기다립니다!	26	15000	1	5	3	0	0
250	짜릿한 경험 가득! 롯데월드 캐스트 모집! 친구랑 같이 지원 가능! (다양한 파트)	8	14000	2	1	8	1	1
251	책과 함께하는 힐링 알바! 교보문고 주말/평일 매장 직원 구해요!	3	15000	5	1	7	0	1
252	메가커피에서 대용량 커피를 제공할 직원을 모집합니다!	39	12000	3	3	5	1	0
253	판타지 세상의 캐스트 모집! 꿈같은 경험을 선물하세요!	4	13000	3	3	4	1	0
254	로젠택배 '안전 배송' 물류 지원 구해요! 주간/야간 선택 가능!	89	12000	1	1	7	0	1
255	메가박스에서 영화의 즐거움을 전할 직원을 찾습니다!	6	12000	4	1	8	1	2
256	애슐리에서 맛있는 음식을 함께 나눌 직원을 모집합니다!	124	13000	6	4	4	1	1
257	메가박스에서 스크린 속 감동을 선사할 '극장 조력자' 모집! (야간 근무 우대)	6	12000	6	5	4	0	1
258	롯데호텔 '글로벌 호스피탈리티' 찾아요! 프론트/객실 관리! 외국어 사용 기회!	129	15000	1	5	5	1	2
259	책을 사랑하는 사람이라면? 교보문고에서 당신을 기다리고 있습니다!	3	14000	6	1	3	1	0
260	휠라 '레트로 패피' 모집! 매장 관리/판매 알바! 옛날 감성 뿜뿜!	96	14000	2	4	3	0	1
261	모던하우스 '인테리어 감성러' 알바 모집! 매장 관리/판매! 예쁜 소품 만지기!	125	13000	6	2	8	1	0
262	현대오일뱅크 '힘내라 대한민국' 모집! 주유/세차/매장 알바! 밝은 에너지 환영!	148	14000	1	4	7	1	2
263	디스커버리 익스페디션 '탐험 전문가' 구인! 매장 관리/판매 알바! 멋진 아우터 속에서 일해요!	102	14000	4	2	6	0	2
264	티몬 '시간 특가 사수' 파트타이머 모집! 딜 검수/관리 보조!	85	15000	1	3	6	0	2
265	로드샵 터줏대감! 토니모리 화장품 판매 알바 구함!	66	11000	3	3	3	1	2
266	24시간 알바 구함! GS25에서 든든하게 일해요! (주야간 파트너)	9	11000	4	1	3	1	1
267	알라딘에서 책과 영화, 그리고 다양한 콘텐츠를 제공할 직원을 찾습니다!	74	12000	1	5	5	0	2
268	나이키에서 운동과 스타일을 즐길 사람을 기다립니다!	10	14000	3	1	7	0	0
269	롤링파스타에서 맛있는 파스타와 함께할 직원을 모집합니다!	110	15000	6	2	8	1	1
270	호텔신라에서 프리미엄 서비스를 제공할 직원을 찾습니다!	128	11000	3	4	4	0	1
271	물류센터 알바 모집! 쿠팡에서 힘차게 일하세요! 단기/장기 가능!	76	11000	1	2	8	0	0
272	래디슨 호텔 그룹 '글로벌 호스피탈리티 크루' 모집! 프론트/객실 관리! 외국어 사용 기회!	99	11000	5	1	8	0	1
273	GS칼텍스 '에너지 도우미' 구인! 주유/세차/매장 알바! 운전 연습도 가능?!	146	14000	4	4	7	1	2
274	24시간 고객과 함께하는 재미있는 일, GS25에서 시작해보세요!	9	13000	4	1	3	0	0
275	쥬씨에서 '과일 에너지 충전가' 모집! 신선한 생과일 주스를 만들고 상큼함 충전할 알바!	109	13000	2	5	8	1	0
276	명랑핫도그 '핫도그 장인' 구인! 조리/판매 알바! 간편하고 재밌는 알바!	108	13000	6	5	4	1	2
277	매장 직원 구해요! 영풍문고에서 책과 함께!	72	13000	4	2	8	1	1
278	우체국 '국민 택배 지킴이' 알바 모집! 소포 분류/접수 지원!	90	14000	1	1	4	0	1
279	알바 모집! 미니스톱에서 편안하게 일하세요!	19	13000	3	2	3	0	1
280	세븐일레븐에서 24시간 고객과 함께하는 활기찬 직원을 모집합니다!	18	15000	6	1	4	1	1
281	커피빈 '퍼플 카드' 구인! 바리스타/매장 관리 알바! 시크하고 고급스러운 분위기!	149	14000	6	5	3	1	1
282	푸마 '힙스터 크루' 찾아요! 의류/신발 판매 알바! 트렌디한 감각 발휘!	95	14000	4	5	7	1	2
283	미샤에서 뷰티와 자신감을 함께 나눌 직원을 모집합니다!	68	13000	1	2	4	1	0
284	배달 파트너 구함! 요기요로 빠르게 배달! (지역 제한 있음)	79	14000	3	5	8	0	1
285	알바 구함! CU에서 동네 사랑방 지기 되세요!	11	12000	4	1	7	1	2
286	아르떼뮤지엄 '빛의 예술 안내자' 모집! 전시 공간 관리/안내! 특별한 경험!	113	13000	1	3	5	1	2
287	코스트코에서 멤버십을 넘어 더 큰 가치를 제공할 직원을 찾습니다.	23	12000	6	3	6	0	2
288	카페베네 '넓고 편한' 알바 찾아요! 바리스타/매장 관리! 공부하는 손님 응대!	150	13000	5	5	4	0	0
289	서가앤쿡에서 맛있는 음식과 따뜻한 분위기를 함께 나눌 직원을 찾습니다!	142	15000	2	2	3	0	1
290	알바 모집! NC백화점에서 가성비 쇼핑!	51	14000	1	4	7	0	0
291	깔끔한 데일리룩! 스파오 매장 관리/판매 알바 모집!	53	14000	2	3	3	1	2
292	프리미엄 베이커리! 아티제 판매/서비스 알바 모집!	40	12000	6	2	3	0	0
293	휠라 'Y2K 감성' 알바 모집! 매장 관리/판매! 복고풍 패션 소화 가능!	96	11000	4	4	3	0	0
294	11번가 '십일절 매니아' 스태프 구인! 프로모션 기획 보조!	83	15000	4	4	4	1	1
295	닥터마틴 '워커홀릭' 알바 찾아요! 신발 판매/매장 관리! 힙한 스타일!	127	15000	1	2	8	1	0
296	알바 모집! 스킨푸드에서 맛있는 화장품!	67	12000	6	5	6	1	2
297	메리어트 인터내셔널 '월드클래스 호스피탈리티' 구인! 다양한 브랜드 경험!	140	15000	2	2	3	0	1
298	위메프 '반값 쇼핑 전문가' 알바 찾아요! 소셜커머스 운영 지원!	84	15000	2	3	8	0	0
299	물류센터/배송 알바 구해요! 마켓컬리에서 신선함 전달! (새벽/오전)	77	15000	2	5	4	0	2
300	모집! 현대백화점에서 트렌드를 배우세요!	47	15000	2	3	7	0	2
301	쫄깃쫄깃 밀크티! 공차 활발한 스태프 구함! (음료 레시피 배우기)	37	15000	1	4	3	1	0
302	CU Post '셀프 택배 안내원' 알바 모집! 간단한 업무!	92	14000	6	3	8	1	2
303	명랑핫도그 '핫도그 튀김 장인' 구인! 조리/판매! 출출할 때 하나씩!	108	14000	1	2	7	0	0
304	설빙에서 달콤한 빙수와 함께할 직원을 모집합니다!	120	11000	4	5	5	1	1
305	자연주의 감성! 이니스프리 매장 관리/판매 알바 구함!	62	13000	5	4	5	1	0
306	애슐리 '가성비 뷔페 친구' 구인! 홀 서빙/샐러드바 관리! 맛있는 냄새 가득!	124	15000	4	4	4	1	1
307	헤지스에서 고급스러운 스타일을 제공할 직원을 모집합니다!	138	14000	4	3	3	1	1
308	하얏트 호텔 '럭셔리 서비스 전문가' 구인! 객실/식음 서비스 파트타이머! 시급 13,000원 이상!	98	12000	4	2	5	0	2
309	죠스떡볶이에서 매운 떡볶이로 열정을 나눌 직원을 찾습니다!	116	14000	6	3	8	0	1
310	SK주유소 '주유 안전 요원' 모집! 주유/세차/매장 관리 알바! 주야간 가능!	145	15000	3	3	3	0	1
311	나이키에서 스포츠 열정을 함께 나눌 '액티브 서포터' 모집! (운동 좋아하는 사람 환영)	10	13000	6	2	6	1	0
312	책 냄새 좋아하는 사람! 영풍문고 매장 관리/판매 알바 구해요!	72	15000	4	4	5	0	1
313	CU Post '편의점 물류 담당' 알바 찾아요! 택배 접수/인수 보조!	92	13000	5	3	3	0	2
314	김밥천국 '국민 분식 마스터' 찾아요! 김밥/분식 조리/판매 알바! 다양한 메뉴!	118	15000	5	2	3	1	0
315	스태프 모집! 엔제리너스에서 편안함을 선사!	33	13000	1	1	7	0	1
316	헤지스 '아이비리그 학생회' 구인! 의류 판매/매장 관리! 스마트한 느낌!	138	11000	5	5	4	1	1
317	및 구함! 이마트에서 활기차게!	20	13000	4	1	8	1	1
318	공차에서 맛있는 음료를 제공할 직원을 모집합니다!	37	11000	1	2	3	0	0
319	한화호텔앤드리조트 '힐링 공간 메이커' 찾아요! 객실/식음 서비스! 다양한 시설 경험!	132	14000	5	2	6	0	2
320	전통 찻집 느낌! 탐앤탐스 매장 관리 알바 모집! (오래 일할 분)	35	15000	1	3	5	1	0
321	동대문엽기떡볶이에서 '엽떡 챌린지 크루' 모집! 매운맛과 스트레스를 동시에 날려버릴 알바!	107	14000	2	5	8	1	2
322	맘스터치에서 치킨 전문점을 함께 이끌어갈 직원을 모집합니다!	27	12000	1	2	4	0	2
323	매일매일 즐거운 CU에서 밝은 에너지를 발산할 직원을 모집합니다.	11	15000	4	1	3	1	2
324	힐튼 월드와이드에서 세계적인 호텔 서비스를 제공할 직원을 모집합니다!	141	11000	3	1	3	1	1
325	한진택배 '빠른 손' 상하차 알바 모집! 단기/장기 알바 가능!	88	15000	6	4	5	0	1
326	커피빈에서 향기로운 커피와 함께할 바리스타를 모집합니다!	149	11000	2	4	5	0	0
327	롯데마트 '대형 마트 전문가' 알바 모집! (물류/판매/진열 다양한 경험!)	22	11000	4	1	8	0	0
328	국내 로드샵 강자! 아리따움 화장품 판매 알바 모집!	61	14000	5	1	4	1	1
329	알바 구함! 이니스프리에서 자연 친화적으로!	62	12000	2	1	7	0	2
330	신발/옷 좋아하면 딱! 나이키 판매 & 매장 관리 알바 모집!	10	13000	3	3	4	1	0
331	디스커버리 익스페디션에서 '도시 탐험 코디네이터' 모집! 트렌디한 어반 아웃도어룩 제안할 알바!	102	15000	6	2	5	0	2
332	노스페이스 '등산/캠핑 덕후' 알바 구함! 의류/용품 판매! 장비 할인 혜택!	101	14000	5	5	8	1	1
333	교보문고에서 책을 사랑하는 사람과 함께 일할 직원을 찾습니다!	3	15000	1	4	4	1	0
334	닥터마틴에서 패션과 스타일을 전할 직원을 모집합니다!	127	12000	1	4	4	1	1
335	국수나무 '빠른 면치기 전문가' 구인! 주방/홀! 회전율 빠른 알바!	117	13000	6	2	3	0	1
336	아디다스 '스포츠 열정 크루' 모집! 판매/매장 관리 알바! 운동화/의류 할인!	93	12000	3	2	4	1	0
337	아크앤북에서 책을 사랑하는 사람과 함께 성장할 직원을 모집합니다!	144	12000	2	4	6	1	2
338	호텔신라 '신라 맨/우먼' 구인! 객실/식음 보조! 최고급 서비스 경험!	128	13000	6	5	6	1	1
339	스타벅스에서 커피와 함께 성장할 바리스타를 모집합니다.	2	12000	3	3	6	1	1
340	심플 이즈 베스트! 유니클로 매장 스태프 모집!	55	15000	4	2	4	0	2
341	대림미술관 '예술 소통 도우미' 모집! 전시 안내/관람객 응대! 문화 생활 즐기기!	136	14000	3	5	7	0	1
342	롯데마트에서 고객과의 소통을 즐길 직원을 모집합니다!	22	14000	2	1	8	0	1
343	크루 구함! 맘스터치에서 손맛 발휘!	27	13000	4	1	6	0	0
344	매장 알바 구함! 롯데아울렛에서 다양한 브랜드 접하기!	46	14000	3	4	5	0	1
345	귀여운 카카오프렌즈와 일할 사람! 매장 알바 모집! 캐릭터 상품 할인!	14	14000	5	2	7	0	2
346	엔제리너스에서 커피와 디저트를 좋아하는 사람을 기다립니다!	33	15000	3	2	8	0	1
347	스태프 모집! 탐앤탐스에서 커피와 함께!	35	11000	2	1	8	1	0
348	켄싱턴 '휴양지 메이트' 모집! 리조트 시설/안내! 여행 온 기분으로 일해요!	131	11000	6	4	7	0	0
349	반스 '체커보드 매니아' 구인! 신발/의류 판매! 스트릿 패션 덕후 환영!	126	12000	2	1	3	0	0
350	가성비 최고 쇼핑몰! NC백화점 판매/진열 알바 모집!	51	14000	5	3	6	1	2
351	던킨도너츠에서 달콤한 도넛을 만드는 직원을 찾습니다!	30	15000	6	1	7	1	0
352	CU에서 우리 동네 작은 슈퍼히어로 '편의점 전문가' 알바 구함! (빠른 업무 습득 가능)	11	11000	5	4	7	1	0
353	헤지스 '아이비리그 감성' 찾아요! 의류 판매/매장 관리 알바! 스마트한 분위기!	138	11000	4	1	5	0	1
354	자연에서 온 느낌! 더페이스샵 주말/평일 스태프 구해요!	64	11000	5	5	3	0	0
355	애슐리 '샐러드바 마스터' 찾아요! 홀/주방 보조 알바! 맛있는 음식 가득!	124	14000	5	5	5	0	0
356	국수나무 '국수 달인' 구인! 주방/홀 알바! 빠르고 간편한 식사!	117	13000	1	4	3	1	0
357	인터컨티넨탈 호텔 그룹 '프리미엄 메이트' 구해요! 식음료/연회장 서비스! 다양한 경험 가능!	100	13000	6	4	4	1	1
358	갓 구운 빵 냄새 가득! 파리바게뜨 제조/판매 알바 구함!	16	13000	5	2	7	0	2
359	동네 마트 일자리! 홈플러스 주말 카트/진열 알바 구해요!	21	13000	1	3	7	0	1
360	한진택배 '새벽을 여는 자' 물류 알바 모집! 새벽 배송 상품 분류!	88	14000	6	5	3	1	0
361	롤링파스타에서 '백종원 파스타 크루' 구인! 맛있는 가성비 파스타 함께 만들 분을 찾습니다!	110	13000	3	3	7	1	0
362	티몬에서 쇼핑 꿀팁 전할 '콘텐츠 크리에이터' 구해요! SNS/홍보 업무!	85	15000	3	1	6	0	1
363	커피 마스터 꿈나무? 스타벅스 파트너 모집! 성장 지원 & 복지 굿!	2	14000	1	4	8	1	0
364	카페베네에서 커피 한 잔의 여유를 제공할 직원을 모집합니다!	150	14000	3	2	8	1	1
365	한솥도시락 '국민 식량 담당' 알바 찾아요! 조리/판매/배달 보조! 든든한 알바비!	112	13000	2	2	4	1	2
366	쿠우쿠우에서 신선한 초밥을 제공할 직원을 모집합니다!	123	14000	2	2	4	0	2
367	알바 구함! 한국민속촌에서 특별한 추억 만들기!	43	12000	3	2	8	0	1
368	매일 맛있는 도넛! 던킨도너츠 판매/제조 알바 모집! (오전/오후)	30	13000	2	2	5	0	2
369	GS25에서 고객과의 소중한 만남을 이어갈 직원을 모집합니다!	9	12000	1	3	6	0	0
370	올리브영 '신상 뷰티 트렌더' 알바 구함! (다양한 제품 체험 기회!)	5	13000	3	3	6	0	1
371	영화가 있는 곳에서 일하고 싶다면? 롯데시네마에서 함께하세요!	12	15000	6	5	3	0	1
372	캐리비안 베이 '워터파크 프렌즈' 모집! 여름 내내 시원하게 돈 벌어요!	45	14000	4	4	6	0	1
373	오션월드에서 물놀이와 즐거움을 선사할 직원을 모집합니다.	44	14000	3	5	6	1	2
374	롯데시티호텔 '비즈니스 트립 메이트' 모집! 프론트/객실 보조! 실무 경험 UP!	135	12000	4	2	7	1	2
375	S-OIL '좋은 기름' 알바 찾아요! 주유/세차/매장 관리! 친절함으로 승부!	147	11000	1	1	7	1	0
376	투썸플레이스에서 맛있는 커피와 음료로 하루를 밝힐 직원을 모집합니다!	13	15000	4	2	6	1	1
377	명품부터 캐주얼까지! 신세계백화점 판매/안내 알바 구해요!	48	15000	4	5	4	1	1
378	교보문고에서 '책 친구' 되어줄 매장 스태프 모집! (조용하고 편안한 분위기!)	3	12000	3	3	7	1	2
379	알바 모집! 핫트랙스에서 다양한 취미 생활!	71	15000	5	5	4	0	0
380	신선한 음료와 함께할 직원을 찾습니다! 투썸플레이스에서 함께하세요.	13	15000	1	5	5	1	2
381	알바 모집! 반디앤루니스에서 책과 성장!	73	15000	3	3	5	1	2
382	서가앤쿡 '한상 차림 전문가' 모집! 주방/홀 알바! 가족 외식 단골 맛집!	142	15000	3	2	7	1	0
383	스태프 구함! 공차에서 맛있는 음료 만들어요!	37	15000	2	2	8	0	1
384	인터컨티넨탈 호텔 그룹 '호텔리어 꿈나무' 모집! 객실/식음 서비스 보조! 특급 호텔 경험!	100	14000	4	3	6	1	2
385	알바 구해요! 홈플러스에서 주말/오후 시간 활용!	21	14000	5	2	8	1	0
386	알바 모집! 갤러리아에서 특별한 분위기!	49	11000	3	5	8	1	2
387	편안함이 매력! 할리스커피 주말/평일 파트타이머 구함!	34	13000	4	1	4	0	1
388	세븐일레븐에서 24시간 고객과 함께하는 활기찬 팀원을 찾습니다!	18	15000	1	1	8	1	2
389	카카오프렌즈 '캐릭터 덕후' 매장 알바 구함! (귀여운 친구들과 매일 함께!)	14	14000	1	3	6	0	2
390	치킨의 진리! KFC 주방/홀 알바 모집! (주말 가능)	26	12000	5	2	8	0	1
391	빽다방 '메가 사이즈 스피드 마스터' 스태프 구함! (빠르게 일하고 빠르게 퇴근!)	15	14000	5	2	6	1	2
392	에버랜드에서 꿈을 현실로! '매지컬 팀원' 상시 모집! (다양한 부서 경험)	4	15000	4	2	3	1	1
393	대림미술관에서 예술과 문화를 함께 나눌 직원을 찾습니다!	136	13000	3	4	7	0	1
394	역전우동0410 '백종원 우동' 알바 구인! 조리/홀! 바쁘지만 체계적!	111	15000	3	4	4	1	0
395	알바 모집! 네이처리퍼블릭에서 싱그러움 가득!	65	13000	2	2	5	0	1
396	블랙야크 '산악인 친구' 찾아요! 아웃도어 용품 판매 알바! 활동적인 당신에게 딱!	106	15000	5	3	7	1	2
397	한솥도시락 '국민 도시락' 알바 모집! 조리/판매/배달 지원! 든든한 한끼!	112	13000	4	5	8	0	0
398	신라스테이 '모던 스테이' 구인! 프론트/객실 관리! 깔끔하고 세련된 곳!	134	11000	5	1	7	0	1
399	빈폴에서 세련된 패션과 함께할 직원을 모집합니다!	137	13000	3	1	4	1	1
400	알바 모집! 에뛰드에서 귀여움 만끽!	63	11000	1	1	6	0	2
401	영화의 감동을 함께 나눌 직원을 모집합니다! CGV에서 여러분의 열정을 기다립니다.	1	14000	6	4	7	0	2
402	아티제에서 고급 커피와 디저트를 만들 직원을 모집합니다.	40	15000	3	3	4	1	1
403	명랑핫도그에서 '명랑 핫도그 아티스트' 구함! 치즈 폭발 명랑핫도그에서 즐거운 스낵 만들기!	108	14000	4	4	7	0	2
404	영화관에서 즐거운 일, 메가박스에서 당신과 함께하고 싶어요!	6	12000	6	1	6	0	0
405	롯데시티호텔에서 도시 속 편안한 안식을 제공할 직원을 모집합니다!	135	15000	1	4	5	0	0
406	써브웨이에서 신선한 샌드위치를 제공할 직원을 찾습니다.	28	11000	2	4	8	1	0
407	네이처리퍼블릭에서 자연의 힘을 느낄 수 있는 직원을 찾습니다!	65	15000	2	3	4	0	0
408	알바 구함! 에잇세컨즈에서 한국적인 감성!	58	11000	4	4	4	1	0
409	도시락 & 편의점 알바! 이마트24 주말/평일 주간/야간 모집!	17	11000	4	1	7	0	1
410	버거킹에서 맛있는 햄버거를 만들 직원을 찾습니다!	25	14000	1	2	3	1	1
411	G마켓 '온라인 쇼핑 덕후' 알바 구함! 상품 등록/고객 문의 지원!	81	12000	4	3	4	0	0
412	물류/포장 알바 모집! 예스24로 빠르게 책 보내기!	75	13000	4	3	8	1	2
413	아르떼뮤지엄 '인생샷 도우미' 모집! 전시 안내/시설 관리 보조! 눈이 즐거운 알바!	113	15000	3	3	7	0	0
414	이마트24 '24시간 우리의 친구' 알바 모집! (주간/야간/심야 선택 가능!)	17	14000	1	4	7	1	2
415	갓성비 버거 맛집! 버거킹 열정 넘치는 크루 구해요!	25	15000	1	2	7	1	0
416	아웃백 '투움바 덕후' 구인! 홀/주방 보조! 분위기 좋은 곳에서!	122	12000	4	5	6	0	0
417	소노 리조트 '액티비티 파트너' 찾아요! 레저 시설 안내/관리! 활기찬 분위기!	133	13000	2	1	4	1	0
418	뷰티와 건강, 모두 책임질 사람! 올리브영에서 함께 할 직원을 모집합니다.	5	12000	1	5	7	0	0
419	GS칼텍스에서 에너지의 미래를 함께 만들어갈 직원을 찾습니다!	146	12000	3	2	7	0	2
420	K2 '등산 전문가' 모집! 아웃도어 의류/용품 판매 알바! 주말/평일 가능!	104	13000	3	4	4	1	2
421	알바 구해요! 파스쿠찌에서 커피 향에 취하세요!	32	12000	2	4	8	0	2
422	알바 모집! H&M에서 나만의 스타일 발휘!	57	15000	4	2	3	0	1
423	로젠택배 '튼튼한 팔뚝' 상하차 지원 구해요! 힘쓰는 만큼 시급 UP!	89	14000	4	2	4	0	1
424	아이더 '프리미엄 아웃도어' 구인! 매장 관리/판매 알바! 기능성 의류 체험!	105	14000	5	5	4	0	2
425	빠르게 배달! 쿠팡이츠 배달 파트너 상시 모집! 원하는 시간 선택 가능!	80	13000	6	2	5	0	2
426	꿈과 희망의 나라 에버랜드! 캐스트 상시 모집! 특별한 경험 & 친구 사귀기! (숙소/셔틀 지원)	4	14000	6	5	3	0	0
427	알바 모집! 이마트24에서 다양한 경험! (주간/야간/주말)	17	14000	2	1	8	0	0
428	운동과 스타일을 모두 챙길 수 있는 나이키에서 함께 성장할 직원을 찾습니다.	10	15000	3	3	3	0	0
429	뮤지엄다에서 특별한 전시와 함께하는 직원을 찾습니다!	114	11000	1	1	8	1	0
430	영화와 함께하는 일, 메가박스에서 특별한 경험을 쌓아보세요.	6	11000	4	4	8	0	2
431	케이크/커피 장인 도전! 투썸플레이스 성실한 파트타이머 구해요!	13	12000	3	2	6	1	1
432	쥬씨 '생과일 주스 전문가' 찾아요! 음료 제조/판매 알바! 상큼함 가득!	109	14000	6	4	4	0	2
433	할리스커피에서 커피의 매력을 함께 나눌 바리스타를 모집합니다.	34	15000	5	2	8	0	1
434	기본템 성지! 탑텐 주말/평일 의류 판매 알바 구함!	54	11000	6	3	5	0	0
435	롯데시티호텔 '비즈니스 스테이' 찾아요! 프론트/객실 관리! 실무 경험 쌓기!	135	11000	1	3	8	1	2
436	아크앤북 '책과 커피 여행' 모집! 서점/카페 스태프! 분위기 좋은 공간!	144	11000	3	4	3	1	0
437	알바 모집! 던킨도너츠에서 매일 다른 도넛 맛보기!	30	14000	5	1	3	1	0
438	모던하우스 '감성 리빙 큐레이터' 모집! 매장 관리/판매 알바! 예쁜 소품 가득!	125	13000	1	2	5	1	2
439	고급스러운 분위기! 갤러리아백화점 의류/잡화 판매 알바 모집!	49	13000	4	3	3	0	2
440	구함! 코스트코에서 시식 알바하며 득템 기회!	23	13000	5	3	8	0	2
441	롯데택배 '물류 전문가' 파트타이머 구인! 지역별 배송 지원 알바!	87	13000	5	1	4	0	0
442	맛있는 빵 향기! 뚜레쥬르 제조/판매 알바 구함! (오전/오후)	41	14000	2	1	6	0	0
443	책을 사랑하는 사람, 교보문고에서 일할 기회를 잡아보세요!	3	13000	3	4	5	1	0
444	반스에서 스트리트 스타일을 제공할 직원을 모집합니다!	126	15000	2	3	5	0	1
445	랄라블라에서 고객과 함께하는 즐거운 쇼핑 경험을 만들 직원을 찾습니다!	60	14000	2	5	6	1	0
446	롯데리아 '불고기버거 장인' 모집! 주방/홀 알바! 젊은 친구들 많음!	119	14000	3	3	8	0	2
447	달콤함 충전 알바! 배스킨라빈스 아이스크림 스쿱 알바 구해요!	29	13000	1	3	6	0	1
448	넓어서 운동도 되는 곳! 롯데마트 물류/판매 지원 알바 모집!	22	14000	5	3	3	1	2
449	커피 한 잔의 여유를 선물할 바리스타를 모집합니다! 스타벅스에서 함께하세요.	2	12000	5	3	4	1	2
450	쿠우쿠우 '초밥 덕후' 구인! 홀/주방 보조 알바! 다양한 뷔페 메뉴!	123	13000	4	2	4	1	1
451	씨네큐브 알바 모집! 영화관 운영 지원/매표 알바! 영화 무료 관람 가능!	97	12000	3	3	5	0	0
452	롤러코스터처럼 신나는 하루를 함께할 롯데월드 팀원을 찾습니다!	8	13000	5	5	6	1	2
453	득템 기회 가득! 알라딘 중고서점 도서 분류/판매 알바 구함!	74	15000	1	1	5	1	1
454	한솥도시락에서 맛있고 건강한 도시락을 제공할 직원을 찾습니다!	112	14000	4	5	3	1	0
455	홈플러스에서 최고의 쇼핑 경험을 제공할 직원을 찾습니다!	21	14000	2	5	5	1	1
456	KT&G 상상마당에서 창의적인 프로젝트에 참여할 직원을 모집합니다!	143	12000	2	1	6	1	0
457	크루 상시 모집! 맥도날드에서 함께 성장해요!	24	11000	3	1	8	1	0
458	닥터마틴 '워크웨어 전문가' 찾아요! 신발 판매/매장 관리 알바! 개성 있는 스타일!	127	15000	6	4	5	0	1
459	죠스떡볶이 '매콤달콤 장인' 모집! 조리/판매 알바! 스트레스 풀리는 맛!	116	15000	2	2	8	1	0
460	이마트24에서 새로운 사람을 만나고, 고객과 함께하는 즐거운 시간을 만들 직원을 찾습니다.	17	12000	5	3	8	1	0
461	메가박스 '대형 스크린 속 조력자' 모집! (사운드 빵빵한 곳!)	6	15000	3	3	8	1	1
462	없는 거 빼고 다 있는 곳! 아트박스 문구/팬시 판매 알바 구함!	70	15000	5	1	6	0	2
463	메리어트 인터내셔널에서 글로벌 호텔 서비스의 일원이 되어보세요!	140	15000	5	3	5	0	0
464	GS칼텍스 '에너지 충전소' 구인! 주유/세차/매장 알바! 운전면허 소지자 우대!	146	15000	2	4	8	0	1
465	매장 스태프 모집! 유니클로에서 심플하게!	55	15000	5	2	6	1	2
466	고급스러운 분위기! 폴바셋 바리스타/홀 직원 구해요!	36	14000	4	5	8	1	1
467	알바 구해요! ABC마트에서 트렌디한 신발 접하기!	52	14000	5	4	6	0	0
468	따뜻한 커피로 고객을 맞이할 바리스타를 찾습니다! 빽다방에서 함께하세요.	15	11000	2	2	5	1	0
469	크루 구인! 버거킹에서 맛있는 버거 만들기!	25	13000	2	5	5	0	1
470	코스트코 '대용량의 세계! 보물 사냥꾼' 알바 구함! (시식/판매 지원!)	23	15000	1	4	3	1	0
471	샐러디에서 신선한 샐러드를 제공할 직원을 모집합니다!	115	14000	3	1	6	1	1
472	스태프 구해요! 미샤에서 합리적인 소비!	68	12000	5	4	7	1	2
473	내셔널지오그래픽 '지구 사랑 탐험가' 알바 모집! 의류/잡화 판매! 멋진 사진/영상 감상!	103	14000	4	4	3	0	2
474	옛날 감성 그대로! 한국민속촌 알바 모집! 특별한 경험 & 복장 체험!	43	15000	4	5	8	1	1
475	빕스 '샐러드바 헌터' 모집! 홀 서빙/샐러드바 관리 보조! 맛있는 음식 구경!	121	13000	3	3	7	1	2
476	극장의 모집! 영화 상영 보조 & 관객 안내!	6	15000	4	4	6	0	1
477	이마트에서 다양한 고객을 맞이할 직원을 모집합니다.	20	13000	2	2	7	1	2
478	극장에서 인생샷 찍을 사람? 메가박스 메아리 모집! 야간/주말 우대!	6	15000	4	3	4	0	2
479	따뜻한 커피로 하루를 시작하고 싶다면, 이디야에서 함께하세요!	7	13000	5	4	6	1	0
480	조선호텔 '조선시대(?) 서비스' 구인! 객실/식음 보조! 전통과 현대의 조화!	130	11000	2	3	8	1	1
481	CGV에서 영화 시작 전 설렘을 책임질 '시네마 가이드' 모집! (주말/파트타임)	1	13000	4	3	3	1	1
482	모집! 써브웨이에서 건강하게 일해요!	28	11000	5	4	6	0	1
483	반디앤루니스에서 독서와 문화의 가치를 나눌 직원을 모집합니다!	73	14000	6	4	8	0	0
484	옥션에서 숨은 보물을 찾을 '경매 서포터' 구인! 온라인/오프라인 운영!	82	15000	6	5	5	1	1
485	CU '동네 알바 끝판왕' 구함! (걸어서 5분 거리!)	11	14000	1	3	4	0	0
486	커피 한 잔의 여유, 당신과 함께 나누고 싶어요! 스타벅스에서 바리스타를 모집합니다!	2	12000	4	5	8	0	2
487	내맘대로 샌드위치! 써브웨이 써브웨이 아티스트 모집! (재밌는 경험)	28	15000	4	5	8	1	2
488	GS Postbox '무인택배 도슨트' 구인! 키오스크 이용 안내!	91	11000	2	2	6	0	1
489	파트타이머 구해요! 투썸에서 달콤한 시간!	13	15000	1	4	3	0	0
