ano	aname	adetail
145	쿠팡이츠, 1시간 내에 맛있는 음식을 빠르게 배달!	쿠팡이츠 주문했더니 문 두드리는 소리? 1시간 안에 맛있는 음식이 집 앞으로!
146	카카오T, 택시부터 대리운전까지 모두 한 번에 해결!	카카오T 하나면 이동 걱정 끝! 택시부터 대리까지 모두 한 번에 편리하게 해결!
147	갤럭시 Z 플립, 폴더블 디자인으로 스타일을 더욱 업그레이드!	갤럭시 Z 플립 꺼내는 순간 시선 집중! 접으면 미니, 펴면 풀 화면! 스타일리시함 폭발!
148	카카오페이, 결제하고 포인트도 챙기자!	카카오페이로 결제했는데 포인트까지 쌓여? 똑똑한 소비는 카카오페이로!
149	아이패드, 업무도 여가도 완벽하게 관리하는 스마트 도구!	아이패드 하나로 업무 보고서도 뚝딱! 영화 감상도 고화질로! 완벽한 스마트 도구!
150	유튜브 프리미엄, 광고 없이 원하는 영상 즐기기!	유튜브 프리미엄 깔고 광고 없이 영상 마음껏! 좋아하는 영상에만 집중하세요!
151	티켓몬스터, 콘서트 티켓과 이벤트를 할인된 가격에!	티켓몬스터에서 콘서트/이벤트 티켓 할인 받자! 좋아하는 공연 할인된 가격으로 즐겨봐요.
152	배달의민족, 첫 주문 시 5,000원 할인 혜택!	배민 첫 주문 아직이라면 5,000원 할인 찬스! 지금 주문하고 맛있는 음식 즐겨봐요!
153	에어팟 프로 2세대, 뛰어난 음질로 음악의 세계를 경험하세요!	에어팟 프로 2세대 끼는 순간 귀 호강! 뛰어난 음질로 음악 세계에 빠져보세요!
154	스카이프, 전 세계 친구와 무료로 영상 통화하기!	멀리 떨어진 친구와도 무료 통화! 스카이프 앱으로 전 세계 친구와 영상 통화 연결!
155	카카오톡, 메시지뿐 아니라 음성 및 영상 통화까지!	카카오톡, 메시지 넘어 이젠 영상 통화까지! 친구들과 더 생생하게 소통하세요!
156	아이폰 15, 빠르고 강력한 성능으로 더 스마트한 모바일 경험!	아이폰 15 손에 쥐면 바로 체감되는 빠르고 강력한 성능! 스마트 모바일 경험의 시작!
157	카카오맵, 내비게이션으로 더 정확한 경로를 찾아보세요!	카카오맵 내비 켰더니 복잡한 길도 순삭! 더 정확한 경로로 빠르게 목적지 도착!
158	배달의민족, 편리한 음식 주문으로 시간을 절약하세요!	배달의민족 켜면 요리할 시간 절약! 편리한 음식 주문으로 나만의 시간을 만들어봐요.
159	LG 스마트폰, 탁월한 카메라로 일상을 더욱 아름답게 담다!	LG 스마트폰 카메라로 평범한 일상도 작품처럼! 탁월한 카메라로 순간을 아름답게 담다!
160	삼성 제트 청소기, 강력한 흡입력으로 집안 청소를 완벽하게!	삼성 제트 청소기 한 번 쓰면 다른 청소기 못 쓴대! 강력한 흡입력으로 집안 청소 완벽!
161	G마켓, 오늘만 제공되는 특별 세일로 쇼핑하세요!	G마켓 오늘만 특별 세일! 필요한 거 있었다면 지금 바로 쇼핑 찬스! 놓치지 마세요!
162	티모, 다양한 뷰티 제품을 특가로 만나보세요!	티모 앱 켰더니 뷰티 제품 특가 가득! 다양한 화장품을 특별 가격에 만나보세요!
163	네이버 페이, 빠르고 간편하게 결제하고 다양한 혜택 챙기기!	네이버 페이로 결제하고 포인트 쏠쏠하게 챙기기! 빠르고 간편한 결제로 혜택까지 누려요.
164	유튜브, 최신 콘텐츠와 트렌디한 영상을 언제든지 즐기세요!	유튜브 켰는데 볼 게 너무 많아! 최신 콘텐츠와 트렌디한 영상을 언제든지 즐기세요!
165	아이패드, 클라우드 기능을 활용해 업무와 자료를 스마트하게!	아이패드에 클라우드 연결하면 자료 관리가 스마트해져! 업무 효율성 UP!
166	배달의민족, 음식을 주문하고 30% 할인 받는 방법!	배달의민족에서 음식을 주문했는데 30% 할인? 역대급 할인 받고 맛있는 거 마음껏!
167	쿠팡, 더 빠르고 간편하게 쇼핑을 즐기세요!	쿠팡 앱 켜고 쇼핑 시작! 더 빠르고 간편하게 필요한 거 다 담아봐요!
168	카카오게임즈, 최신 게임을 모바일에서 실시간으로 즐기다!	카카오게임즈 앱으로 최신 게임 실시간 플레이! 친구들과 함께 게임의 재미에 빠져보세요!
169	삼성 스마트워치, 건강한 생활을 위한 스마트한 선택!	삼성 스마트워치 차고 건강 관리 시작! 내 몸 상태를 스마트하게 체크하세요!
170	에어비앤비, 맞춤형 숙소 예약으로 여행을 특별하게 만들기!	에어비앤비 앱으로 특별한 숙소 찾기! 맞춤형 숙소 예약으로 여행을 더 특별하게 만들어봐요.
171	스카이스캐너, 항공권 가격 비교로 가장 저렴한 여행 찾기!	여행 계획은 스카이스캐너부터! 항공권 가격 비교로 가장 저렴한 여행을 찾아 떠나요!
172	아이폰 15, 최신 기술로 더 빠르고 선명한 화면을 경험!	아이폰 15 화면 무슨 일? 최신 기술로 더 빠르고 선명한 화면 경험! 눈이 즐거워져요.
173	쿠팡이츠, 맛있는 음식을 바로 배달해주는 서비스!	쿠팡이츠 켰는데 맛집 음식이 바로 배달? 기다릴 필요 없이 빠르게 즐겨봐요!
174	네이버 블로그, 내 손으로 쉽고 간편하게 글을 작성하세요!	네이버 블로그 앱으로 생각난 김에 글 쓰기! 내 손으로 쉽고 간편하게 나만의 공간을 만들어봐요.
175	페이스북, 친구들과 실시간으로 소통하고 소식을 공유하기!	페이스북 켰는데 친구 소식이 한눈에! 친구들과 실시간으로 소통하고 소식을 공유해요.
176	배달의민족, 다양한 할인 혜택으로 더 많은 음식을 즐기세요!	배달의민족 할인 혜택 받으면 더 많은 음식을 즐길 수 있어! 다양한 맛집 메뉴를 할인 받아 즐겨봐요!
177	삼성 갤럭시, 혁신적인 기능으로 스마트한 생활을 시작하다!	삼성 갤럭시, 써보면 왜 특별한지 알게 될 걸? 혁신적인 기능으로 스마트한 생활을 시작해요!
178	티몬, 한정 세일과 특가 혜택을 놓치지 마세요!	티몬 한정 세일/특가 놓치면 후회! 필요한 거 있다면 티몬 앱 켜고 지금 바로 확인하세요!
179	카카오T, 앱으로 편리하게 택시를 호출하고 빠르게 도착!	카카오T 앱 켜면 택시 바로 와! 편리하게 택시 호출하고 목적지까지 빠르게 도착해요!
180	아이폰 15, 디자인과 성능 모두 완벽한 스마트폰!	아이폰 15, 디자인도 예쁜데 성능까지 완벽! 스마트폰 하나로 일상이 편리해져요.
181	네이버 지도, 실시간 길찾기와 교통정보로 길 찾기 완벽하게!	네이버 지도 하나면 길치 탈출! 실시간 길찾기로 약속 시간 늦을 걱정 끝!
182	갤럭시 워치6 차고 나갔더니, 친구가 운동 좀 하냐고 물어봤다	갤럭시 워치6 차고 운동 시작! 친구가 운동 좀 하냐고 물어보더라니까?
183	쿠팡플레이에 빠지면 넷플릭스는 잠시 안녕이야	쿠팡플레이에 빠지면 시간 가는 줄 몰라! 넷플릭스도 잠시 안녕~
184	에어팟 맥스 쓰고 출근했더니 세상 소음이 뮤트됨	에어팟 맥스 쓰는 순간 세상 소음 차단! 나만의 공간에서 출근길 편안하게.
185	에이수스 젠북, 회의하다가 디자인 예쁘단 얘기 들음	에이수스 젠북 들고 회의 갔더니 디자인 예쁘단 얘기 꼭 들음! 성능도 디자인도 완벽.
186	이마트24 앱으로 안주 미리 주문해놨다, 완벽	이마트24 앱으로 퇴근길에 안주 미리 주문해놨다. 완벽한 혼술 준비.
187	야마하 키보드로 집에서 칠 줄만 아는 피아니스트	야마하 키보드 집에 들였더니 방구석 피아니스트 탄생! 칠 줄만 알면 돼요.
188	빙그레 바나나맛우유, 옛날 학교 앞 느낌 그대로 복귀	빙그레 바나나맛우유 마셨더니 옛날 학교 앞 추억 소환! 변치 않는 맛과 감성.
189	버즈2 프로, 공사장 옆에서도 대화가 들리는 기술력	버즈2 프로 끼고 공사장 옆 걸어가는데 친구랑 대화가 너무 잘 들림! 신기한 기술력.
190	오늘의집 앱으로 꾸미고 나니 월세 50 오를 분위기	오늘의집 앱으로 집 꾸미고 나니 월세 50만 원 올릴 분위기! 셀프 인테리어 성공.
191	카카오페이지, 지하철에서 웹툰 몰입하다 내릴 곳 지나침	카카오페이지 웹툰에 몰입하다 지하철 내릴 역 지나침! 다음 화도 결제각.
192	GS리테일 앱, 편의점도 예약 시대인 거 실화임	GS리테일 앱으로 편의점 상품 예약하는 시대! 필요한 건 미리 챙겨두자.
193	스노우 앱, 셀카 하나 찍었는데 필터가 인생샷 만들어줌	스노우 앱으로 셀카 찍었는데 필터 하나로 바로 인생샷! 보정 필요 없음.
194	플로, 월요일엔 재즈, 금요일엔 클럽이 집에 온다	플로 켰더니 월요일엔 재즈, 금요일엔 클럽 분위기! 집이 바로 플레이스.
195	LG 코드제로, 선 없으니까 춤추듯 청소 가능	LG 코드제로 청소기, 선 없으니까 춤추면서 청소 가능! 청소가 즐거워져요.
196	피자헛 앱에서 시켰더니 와퍼 대신 피자가 배달됨	피자헛 앱에서 시켰는데 버거킹 와퍼 대신 피자가 왔어요. (와퍼는 버거킹입니다.)
197	네이버 예약으로 피부과 갔더니 할인도 받고 관리도 받고	네이버 예약으로 피부과 갔더니 할인도 받고 시술도 잘 받고! 똑똑한 예약 생활.
198	버거킹 앱, 와퍼 하나에 사이드메뉴 줄줄이 따라옴	버거킹 앱 켜면 와퍼 하나에 사이드 메뉴가 줄줄이! 풍성한 혜택 놓치지 마세요.
199	쿠첸 밥솥, 고슬고슬한 밥에 엄마가 놀람	쿠첸 밥솥으로 밥했더니 윤기 좔좔 고슬고슬! 엄마가 밥맛 좋아졌다고 놀라심.
200	트립닷컴에서 예약했는데 옆자리보다 싸게 감	트립닷컴에서 항공권 예약했는데 옆자리 사람보다 싸게 감! 최저가 여행의 시작.
